id;nombre;descripcion;duracion;precio;fecha_inicio
1;Cantabria Plaza Sección;microchip alarm Rústico;40213;87760;2023-08-18T11:03:00
2;Gorro Zapatos Optimización;hack generate;71505;78756;2023-08-18T02:32:42
3;Extramuros;Open-source;98619;43427;2023-08-17T18:50:09
4;Principado;infrastructures;63237;27474;2023-08-18T15:10:36
5;partnerships;payment Manat Investment;15402;56221;2023-08-17T16:59:20
6;Electrónica auxiliary Saudí;Aruban Ingeniero Investment;58694;53926;2023-08-18T10:01:04
7;capacitor;a Personal;64013;31858;2023-08-18T05:06:47
8;Denar virtual;Centrado Orgánico;3695;7618;2023-08-17T19:59:21
9;multi-byte;sensor Fantástico;63936;52473;2023-08-18T16:12:25
10;Borders Azerbaijanian Denar;Gris;14315;98761;2023-08-17T21:06:08
